,id,created_at,text
44,1247893235898265600,2020-04-08 14:25:06+00:00,its what youve been waiting for the covid19 mental health resource hub is at  videos oã¢â‚¬â¦ 
45,1247893235806003200,2020-04-08 14:25:06+00:00,ga leaders extend state of emergency into may to continue aggressive fight against covid19 
46,1247893235197808641,2020-04-08 14:25:06+00:00,grab forced to close centre after crowd forms to collect food delivery bags amid covid19 measuresã¢â‚¬â¦ 
47,1247893234417684487,2020-04-08 14:25:06+00:00,latest covid19 cases in ã°å¸â€¡â¦ã°å¸â€¡â¹ 202047 confirmed 12639342 deaths 24323 recovered 4046583
48,1247893234392510464,2020-04-08 14:25:06+00:00,yourefingout stoptrump20 there were 12469 deaths due to swine flu in a yearnnthere have been 12857 deaths dueã¢â‚¬â¦ 
49,1247893233645965314,2020-04-08 14:25:06+00:00,microsoft says it will make all of its events digital until july 2021 due to the covid19 pandemic tom warrentheã¢â‚¬â¦ 
50,1247893232781910016,2020-04-08 14:25:06+00:00,covid19 tracker which countries have reversed the trend in daily cases  coronavirus outbreak newsthe indian expã¢â‚¬â¦ 
51,1247893232567988226,2020-04-08 14:25:06+00:00,walmart sued by family of worker who died of coronavirus covid19 complications 
52,1247893232517664769,2020-04-08 14:25:06+00:00,many people amp businesses are hurting itã¢â‚¬â„¢s hard to imagine businesses going forward will operate without an emergenã¢â‚¬â¦ 
53,1247893232115052546,2020-04-08 14:25:05+00:00,from virtual dates to getting stuck together on a boat hereã¢â‚¬â„¢s how chicagoans are navigating love and dating duringã¢â‚¬â¦ 
54,1247893232098238465,2020-04-08 14:25:05+00:00,introducing coffee break a dedicated space for lgbtq creatives ã°å¸ï¿½â³ã¯â¸ï¿½u200dã°å¸å’ë†nnon the 10th april at 1030am hostã¢â‚¬â¦ 
55,1247893232022740992,2020-04-08 14:25:05+00:00,a group of essex county residents have found a productive way to stay busy while in selfisolation during the covidã¢â‚¬â¦ 
56,1247893231729180682,2020-04-08 14:25:05+00:00,we understand you will be very busy amp adjusting to this new normal but your feedback is crucial to informing howã¢â‚¬â¦ 
57,1247893231582363651,2020-04-08 14:25:05+00:00,schoolã¢â‚¬â„¢s out a parentsã¢â‚¬â„¢ guide for meeting the challenge during the covid19 pandemic coronavirus gromsocialcomã¢â‚¬â¦ 
58,1247893231582318592,2020-04-08 14:25:05+00:00,shehusani practically speaking how do u keep people in church or mosque with 6ft distance and less than 20 nplsã¢â‚¬â¦ 
59,1247893231414571020,2020-04-08 14:25:05+00:00,the eoc has come up with a formula to determine when a covid19 patient is considered recovered we hope to have aã¢â‚¬â¦ 
60,1247893231192305665,2020-04-08 14:25:05+00:00,free courses from pmi  well done guys  pmot project
61,1247893230672211971,2020-04-08 14:25:05+00:00,covid19 and cyber crime awareness ã¢â‚¬â€œ knowledge on how to avoid 
62,1247893229355159553,2020-04-08 14:25:05+00:00,ã°å¸ëœï¿½ remote workers lose up to 93 of communication cues due to messaging online ã°å¸â¤â­nnthats why psychology senior lectã¢â‚¬â¦ 
63,1247893229158055938,2020-04-08 14:25:05+00:00,barrackville ã¢â‚¬â€ about 10 people attended barrackville town council tuesday evening which was set to choose the ordeã¢â‚¬â¦ 
64,1247893228340183040,2020-04-08 14:25:05+00:00,govofco well then mr governor jared polis this should apply to the colorado inmates as well a lot of them haveã¢â‚¬â¦ 
65,1247893227895586818,2020-04-08 14:25:04+00:00,the state of americansã¢â‚¬â„¢ trust in each other amid the covid19 pandemic 
66,1247893227648077832,2020-04-08 14:25:04+00:00,building on 6 decades of experience working with local communities amp investments in community health by nmohkenyaã¢â‚¬â¦ 
67,1247893227375439875,2020-04-08 14:25:04+00:00,we are proud to represent encompass insurance as they are giving some serious reductions to all auto policies dueã¢â‚¬â¦ 
68,1247893227169972227,2020-04-08 14:25:04+00:00,for dea the opioidabuse epidemic is being superseded by the covid19 pandemic  
69,1247893226024919047,2020-04-08 14:25:04+00:00,covid resource sba disaster assistance in response to the coronavirus from us small business administrationnn
70,1247893225953570816,2020-04-08 14:25:04+00:00,introducing onemillionmeals a charitable initiative cofounded by momin saqib a kingscollegelon staff member tã¢â‚¬â¦ 
71,1247893224712048642,2020-04-08 14:25:04+00:00,mt fairfaxhhs with many upcoming major religious observances amp evidence of community spread of covid19 in the faã¢â‚¬â¦ 
72,1247893224334585856,2020-04-08 14:25:04+00:00,air canada to apply for wage subsidy program to keep workers on payroll amid covid19 pandemicã¢â‚¬â¦ 
73,1247893224020041730,2020-04-08 14:25:03+00:00,have you seen our new events page despite many events being disrupted by covid19 most are either going virtual tã¢â‚¬â¦ 
74,1247893223755800579,2020-04-08 14:25:03+00:00,explainer do men fare worse with covid19 than woman  
75,1247893223638327296,2020-04-08 14:25:03+00:00,the cree trappers association and niskamoon team up to provide 16 million in extra funding to help cree familieã¢â‚¬â¦ 
76,1247893223537696769,2020-04-08 14:25:03+00:00,microsoft says it will make all of its events digital until july 2021 due to the covid19 pandemic tom warrentheã¢â‚¬â¦ 
77,1247893223525081090,2020-04-08 14:25:03+00:00,covid19 updates  total number in africa exceeds 10000  uk is nowhere near lifting the lockdown measures  casã¢â‚¬â¦ 
78,1247893223252439046,2020-04-08 14:25:03+00:00,four employees of tenants at lehigh valley international airport have been diagnosed with covid19 the disease cauã¢â‚¬â¦ 
79,1247893222946263043,2020-04-08 14:25:03+00:00,coronavirus is circulating in state prisonsnnso far five department of corrections employees and one prisoner havã¢â‚¬â¦ 
80,1247893222665285634,2020-04-08 14:25:03+00:00,how uk civil and family courts are adapting to covid19  
81,1247893221289504772,2020-04-08 14:25:03+00:00,microsoft says it will make all of its events digital until july 2021 due to the covid19 pandemic tom warrentheã¢â‚¬â¦ 
82,1247893221155328001,2020-04-08 14:25:03+00:00,a very concise and important piece that helps widdle out much of the fuzziness around who and what the taliban wereã¢â‚¬â¦ 
83,1247893221037899778,2020-04-08 14:25:03+00:00,rocksure donates 50000 to covid19 trust fund 
84,1247893220345778178,2020-04-08 14:25:03+00:00,rate of covid19 deaths illness among black residents alarms cities  publichealthã¢â‚¬â¦ 
85,1247893220035461120,2020-04-08 14:25:03+00:00,listen to the amazing nichele carver associate director homeless and special needs housing dept of housing amp coã¢â‚¬â¦ 
86,1247893219955765249,2020-04-08 14:25:03+00:00,merchants face an increase in cybersecurity threats during covid19  globenewswire 
87,1247893219297222657,2020-04-08 14:25:02+00:00,muscle aches joint pain diarrhea looks like iã¢â‚¬â„¢ve had covid19 for the last 15 years
88,1247893218840068103,2020-04-08 14:25:02+00:00,life at a bikeshop during covid19 with bikes amp more gainesville floridan 
89,1247893218504503297,2020-04-08 14:25:02+00:00,stay safe stay smartnnuse the aarogya setu app to fight against covid19 its easy and effective it tracks yourã¢â‚¬â¦ 
90,1247893218466746375,2020-04-08 14:25:02+00:00,lindseyhilsum marinahyde here is why i have a problem with the guardian taking a stance on this we often use theã¢â‚¬â¦ 
91,1247893218013806595,2020-04-08 14:25:02+00:00, cybersecurity working amp learning from home throughout covid19 ã¢â‚¬â€œ from bill brandon this rã¢â‚¬â¦ 
92,1247893217900560387,2020-04-08 14:25:02+00:00,remote working in the covid19 era actually roasting in the car right now my laptop even more might have to useã¢â‚¬â¦ 
93,1247893217841823745,2020-04-08 14:25:02+00:00,politics  in keralas covid19 response pinarayi vijayan is in the spotlight moneycontrolcom 
94,1247893215841140741,2020-04-08 14:25:02+00:00,getting mad at your significant other for cheating on you in a dream is so 2019 its 2020 ladies and men and nonbã¢â‚¬â¦ 
95,1247893215346184198,2020-04-08 14:25:01+00:00,cision hundreds of temporary apartment units in miami donated to staff at jackson health system fighting covidã¢â‚¬â¦ 
96,1247893214373097474,2020-04-08 14:25:01+00:00,essential union workers voice concerns for working conditions during covid19 pandemic 
97,1247893214146596865,2020-04-08 14:25:01+00:00,covid19 homeschool psa 
98,1247893214062772224,2020-04-08 14:25:01+00:00,from rlab  moscowbased drummer producer and onebeat russia fellownnfor week three we are continuing to sharã¢â‚¬â¦ 
99,1247893213332946954,2020-04-08 14:25:01+00:00,covid19 pandemic what will the next six months bring 
100,1248226848401764352,2020-04-09 12:30:46+00:00,covid19 media briefing by cs health mutahi kagwe each of us should take responsibility for each other by obeyingã¢â‚¬â¦ 
101,1248226848380801029,2020-04-09 12:30:46+00:00,ethiopia etpolicyforum drephrem mentions that covid19 could cause a loss of 07 to 2 million jobs in low andã¢â‚¬â¦ 
102,1248226847143403522,2020-04-09 12:30:45+00:00,obama coalition is suiting up against this fing disgrace of a president dumptrump covid19 factssavelives
103,1248226846988263431,2020-04-09 12:30:45+00:00,europes data protection chief claims a paneu coronavirus health tracking app is required to protect the privacy oã¢â‚¬â¦ 
104,1248226846686302212,2020-04-09 12:30:45+00:00,interesting to see mps have given themselves 10 grand extra for their trouble during coronovirus  sorry those verã¢â‚¬â¦ 
105,1248226845792899072,2020-04-09 12:30:45+00:00,ellenjskye1 globalnews are you aware that someone in dougs family has tested positive for covid 19  he should be at home
106,1248226844454912001,2020-04-09 12:30:45+00:00,covid19 coronavirus update waec elearning platformwaec urges candidates to use it 
107,1248226843959967744,2020-04-09 12:30:45+00:00,chicagotribune it might be interesting to have governors refuse to put their citizens back to work until or unlessã¢â‚¬â¦ 
108,1248226843637035009,2020-04-09 12:30:45+00:00,soledadobrien nypost covid19 i mean
109,1248226843553075200,2020-04-09 12:30:45+00:00,bbc host slams uk politicians for suggesting fighters can survive covid19n
110,1248226843444097031,2020-04-09 12:30:45+00:00,as if eating bats and getting covid19 wasnã¢â‚¬â„¢t sketchy enough gtfoh 
111,1248226843343413248,2020-04-09 12:30:45+00:00,we are committed to supporting the health and livelihoods of our people partners amp communities through this crisisã¢â‚¬â¦ 
112,1248226843024601088,2020-04-09 12:30:44+00:00,covid19 school feeding reopens in western cape  
113,1248226842521280512,2020-04-09 12:30:44+00:00,coronavirus news ny assemblywoman returns to work as nurse to fight covid19  
114,1248226841892020225,2020-04-09 12:30:44+00:00,they say that covid 19 pcr has estimated 2530 false negative rate i am very worried that the number of tests inã¢â‚¬â¦ 
115,1248226841862844417,2020-04-09 12:30:44+00:00,kiambu county government under he honnyoro has set aside isolation centres in different areas within kiambu thiã¢â‚¬â¦ 
116,1248226840591896576,2020-04-09 12:30:44+00:00,did gilead just lower the bar on crucial remdesivir trials for covid19 switching endpoints amping up trial sizeã¢â‚¬â¦ 
117,1248226840512270338,2020-04-09 12:30:44+00:00,covid19 observatory squatters said they will not go to strandfontein shelternna group of squatters calling themseã¢â‚¬â¦ 
118,1248226840369561605,2020-04-09 12:30:44+00:00,canada posts a record job loss of more than 1 million in march from covid19 shutdown cdnecon
119,1248226839958638594,2020-04-09 12:30:44+00:00,you are evil and the definition of cruelty selfish and all things wrong i do not like you all at all nnzimbabwe ncovid19ncoronavirus
120,1248226839266496513,2020-04-09 12:30:44+00:00,how temporal equity may also affect studentsã¢â‚¬â„¢ engagement andor their right to disengage not all realities are theã¢â‚¬â¦ 
121,1248226838507372544,2020-04-09 12:30:43+00:00,chinas govt warned that a resurgence of covid19 outbreak could occur and thus asked authorities to be watchful ofã¢â‚¬â¦ 
122,1248226838348017664,2020-04-09 12:30:43+00:00,nataliejotx mcurry1975 dalyem ingrahamangle thatã¢â‚¬â„¢s not true 
123,1248226837957926913,2020-04-09 12:30:43+00:00,covid19 panic at ubth over blunders on tests  
124,1248226837605437441,2020-04-09 12:30:43+00:00,fyi for those in noidannthis app could help if you are stuck in one of noidaã¢â‚¬â„¢s covid19 hotspotsncoronavirus  n 
125,1248226837374709762,2020-04-09 12:30:43+00:00,152 doctors 63 nurses test positive for covid19 
126,1248226837269860352,2020-04-09 12:30:43+00:00,drharshvardhan sir cant all the pcr labs of state and central universities be used for covid 19 testing cant wã¢â‚¬â¦ 
127,1248226836502511617,2020-04-09 12:30:43+00:00,towns including bloomfield montclair and cedar grove say people arenã¢â‚¬â„¢t throwing away face masks gloves and otherã¢â‚¬â¦ 
128,1248226836263456768,2020-04-09 12:30:43+00:00,how can we say thank you to all our health workers after the covid19 pandemic
129,1248226835768528897,2020-04-09 12:30:43+00:00,side effects seen with use of chloroquine against covid19   ayudabiblioteca
130,1248226835323912193,2020-04-09 12:30:43+00:00,good morning covid19 nyou matter 
131,1248226835290193922,2020-04-09 12:30:43+00:00,singapore reports a record 287 new covidã£æ’â¼19 cases with more than half linked to dormitory cluster 
132,1248226835088973824,2020-04-09 12:30:43+00:00,the university hospital basel is the 1st hospital to treat covid19 patients with plasma from someone who recoveredã¢â‚¬â¦ 
133,1248226833658777600,2020-04-09 12:30:42+00:00,a post shared by leslie jordan thelesliejordan on apr 8 2020 at 723 am pdt did that story really happenã¢â‚¬â¦ 
